"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1992",15.16,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1993",15.25,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1994",15.44,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1995",15.85,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1996",16.2,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1997",16.45,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1998",17.34,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1999",17.48,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2000",17.59,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2001",17.69,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2002",17.9,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2003",17.66,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2004",18.15,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2005",18.05,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2006",18.07,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2007",18.23,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2008",18.02,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2009",17.95,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2010",17.78,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2011",17.45,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2012",17.18,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2013",16.58,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2014",15.93,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2015",15.97,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2016",16.14,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2017",15.97,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2018",15.67,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2019",15.35,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2020",14.57,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2021",14.71,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","1992",7.09,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","1993",7.05,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","1994",7.08,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","1995",7.49,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","1996",7.95,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","1997",7.84,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","1998",7.91,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","1999",7.69,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2000",7.72,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2001",8.23,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2002",8.37,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2003",8.96,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2004",9.06,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2005",9.05,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2006",8.73,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2007",8.33,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2008",8.24,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2009",7.51,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2010",8.17,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2011",7.94,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2012",7.53,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2013",7.56,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2014",7.07,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2015",7.13,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2016",7.09,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2017",7.3,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2018",6.94,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2019",7.07,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2020",6.43,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2021",6.72,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","1992",10.87,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","1993",10.61,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","1994",11.04,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","1995",10.98,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","1996",11.46,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","1997",11.15,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","1998",11.39,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","1999",10.99,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2000",11.12,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2001",11.22,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2002",10.44,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2003",10.85,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2004",10.61,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2005",10.31,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2006",9.95,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2007",9.49,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2008",9.68,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2009",9,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2010",9.57,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2011",8.49,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2012",8.34,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2013",8.43,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2014",7.83,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2015",8.23,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2016",8.1,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2017",7.94,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2018",7.96,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2019",7.85,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2020",7.17,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2021",7.48,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","1992",14.68,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","1993",14.42,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","1994",14.79,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","1995",14.97,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","1996",15.29,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","1997",15.63,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","1998",15.73,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","1999",15.91,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2000",16.41,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2001",15.99,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2002",16.41,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2003",16.88,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2004",16.47,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2005",16.71,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2006",16.26,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2007",17.03,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2008",16.24,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2009",15.24,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2010",15.48,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2011",15.69,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2012",15.48,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2013",15.59,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2014",15.57,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2015",15.38,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2016",15.18,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2017",15.29,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2018",15.38,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2019",14.81,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2020",13.36,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2021",13.83,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","1992",13.02,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","1993",12.47,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","1994",11.9,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","1995",11.86,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","1996",12.25,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","1997",12.03,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","1998",11.43,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","1999",10.74,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","2000",11.95,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","2001",12,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","2002",11.65,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","2003",11.95,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","2004",11.97,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","2005",11.75,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","2006",11.77,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","2007",11.86,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","2008",11.19,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","2009",10.65,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","2010",10.72,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","2011",10.44,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","2012",10.07,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","2013",9.66,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","2014",9.36,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","2015",9.45,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","2016",9.59,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","2017",9.62,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","2018",9.49,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","2019",8.97,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","2020",8.13,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","2021",8.53,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","1992",10.7,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","1993",11.12,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","1994",11.84,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","1995",11.17,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","1996",13.62,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","1997",11.72,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","1998",10.93,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","1999",10.3,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2000",9.52,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2001",9.78,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2002",9.69,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2003",10.67,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2004",9.59,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2005",8.95,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2006",10.37,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2007",9.46,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2008",8.86,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2009",8.5,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2010",8.52,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2011",7.55,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2012",6.65,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2013",6.93,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2014",6.15,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2015",5.73,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2016",5.93,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2017",5.51,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2018",5.48,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2019",4.87,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2020",4.45,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2021",4.86,
"FIN","AIREMISSION","CO2","TONNE_CAP","A","1992",10.28,
"FIN","AIREMISSION","CO2","TONNE_CAP","A","1993",10.48,
"FIN","AIREMISSION","CO2","TONNE_CAP","A","1994",11.71,
"FIN","AIREMISSION","CO2","TONNE_CAP","A","1995",10.91,
"FIN","AIREMISSION","CO2","TONNE_CAP","A","1996",12.14,
"FIN","AIREMISSION","CO2","TONNE_CAP","A","1997",11.71,
"FIN","AIREMISSION","CO2","TONNE_CAP","A","1998",11.02,
"FIN","AIREMISSION","CO2","TONNE_CAP","A","1999",10.85,
"FIN","AIREMISSION","CO2","TONNE_CAP","A","2000",10.55,
"FIN","AIREMISSION","CO2","TONNE_CAP","A","2001",11.68,
"FIN","AIREMISSION","CO2","TONNE_CAP","A","2002",12.1,
"FIN","AIREMISSION","CO2","TONNE_CAP","A","2003",13.67,
"FIN","AIREMISSION","CO2","TONNE_CAP","A","2004",12.85,
"FIN","AIREMISSION","CO2","TONNE_CAP","A","2005",10.47,
"FIN","AIREMISSION","CO2","TONNE_CAP","A","2006",12.62,
