"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","CPIFORECAST","TOT","AGRWTH","A","1992",0.968828980623246,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1993",1.75219023779735,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1994",1.92701927019273,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1995",4.6259050683828,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1996",2.65282583621686,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1997",0.22471910112356,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1998",0.859491778774484,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1999",1.40792886254168,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2000",4.45743514797209,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2001",4.40713536201464,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2002",3.04857621440553,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2003",2.73081924577361,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2004",2.34177215189884,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2005",2.65924551638829,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2006",3.55421686746983,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2007",2.35602094240834,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2008",4.34782608695657,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2009",1.77015250544669,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2010",2.86325929890289,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2011",3.35587929240363,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2012",1.68638308582934,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2013",2.45049504950496,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2014",2.51268422324231,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2015",1.48479849163342,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2016",1.27728750580578,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2017",1.99495528548493,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2018",1.93345323741012,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2019",1.58800176444636,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2020",0.868432479374762,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2021",2.819629789066,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2022",6.61503035377909,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2023",5.36715119647405,
"CAN","CPIFORECAST","TOT","AGRWTH","A","1993",1.86544949394724,
"CAN","CPIFORECAST","TOT","AGRWTH","A","1994",0.136372491720155,
"CAN","CPIFORECAST","TOT","AGRWTH","A","1995",2.18871595330742,
"CAN","CPIFORECAST","TOT","AGRWTH","A","1996",1.58019990480724,
"CAN","CPIFORECAST","TOT","AGRWTH","A","1997",1.61184518789241,
"CAN","CPIFORECAST","TOT","AGRWTH","A","1998",0.986811767960905,
"CAN","CPIFORECAST","TOT","AGRWTH","A","1999",1.74429223744299,
"CAN","CPIFORECAST","TOT","AGRWTH","A","2000",2.73763575980611,
"CAN","CPIFORECAST","TOT","AGRWTH","A","2001",2.50742617508295,
"CAN","CPIFORECAST","TOT","AGRWTH","A","2002",2.27563283047818,
"CAN","CPIFORECAST","TOT","AGRWTH","A","2003",2.74166666666652,
"CAN","CPIFORECAST","TOT","AGRWTH","A","2004",1.84118744423731,
"CAN","CPIFORECAST","TOT","AGRWTH","A","2005",2.23000955718374,
"CAN","CPIFORECAST","TOT","AGRWTH","A","2006",2.01776254284821,
"CAN","CPIFORECAST","TOT","AGRWTH","A","2007",2.13058419243997,
"CAN","CPIFORECAST","TOT","AGRWTH","A","2008",2.38522506355606,
"CAN","CPIFORECAST","TOT","AGRWTH","A","2009",0.299423062878828,
"CAN","CPIFORECAST","TOT","AGRWTH","A","2010",1.7693315858454,
