"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","POP","TOT","MLN_PER","A","1992",17.478635,
"AUS","POP","TOT","MLN_PER","A","1993",17.634808,
"AUS","POP","TOT","MLN_PER","A","1994",17.805468,
"AUS","POP","TOT","MLN_PER","A","1995",18.004882,
"AUS","POP","TOT","MLN_PER","A","1996",18.224767,
"AUS","POP","TOT","MLN_PER","A","1997",18.423037,
"AUS","POP","TOT","MLN_PER","A","1998",18.607584,
"AUS","POP","TOT","MLN_PER","A","1999",18.812264,
"AUS","POP","TOT","MLN_PER","A","2000",19.028802,
"AUS","POP","TOT","MLN_PER","A","2001",19.274701,
"AUS","POP","TOT","MLN_PER","A","2002",19.49521,
"AUS","POP","TOT","MLN_PER","A","2003",19.720737,
"AUS","POP","TOT","MLN_PER","A","2004",19.932722,
"AUS","POP","TOT","MLN_PER","A","2005",20.176844,
"AUS","POP","TOT","MLN_PER","A","2006",20.450966,
"AUS","POP","TOT","MLN_PER","A","2007",20.827622,
"AUS","POP","TOT","MLN_PER","A","2008",21.249199,
"AUS","POP","TOT","MLN_PER","A","2009",21.691653,
"AUS","POP","TOT","MLN_PER","A","2010",22.03175,
"AUS","POP","TOT","MLN_PER","A","2011",22.340024,
"AUS","POP","TOT","MLN_PER","A","2012",22.733465,
"AUS","POP","TOT","MLN_PER","A","2013",23.128129,
"AUS","POP","TOT","MLN_PER","A","2014",23.475686,
"AUS","POP","TOT","MLN_PER","A","2015",23.815995,
"AUS","POP","TOT","MLN_PER","A","2016",24.190907,
"AUS","POP","TOT","MLN_PER","A","2017",24.60186,
"AUS","POP","TOT","MLN_PER","A","2018",24.982688,
"AUS","POP","TOT","MLN_PER","A","2019",25.365745,
"AUS","POP","TOT","MLN_PER","A","2020",25.693267,
"AUS","POP","TOT","MLN_PER","A","2021",25.738142,
"AUT","POP","TOT","MLN_PER","A","1992",7.840709,
"AUT","POP","TOT","MLN_PER","A","1993",7.905632,
"AUT","POP","TOT","MLN_PER","A","1994",7.936118,
"AUT","POP","TOT","MLN_PER","A","1995",7.948278,
"AUT","POP","TOT","MLN_PER","A","1996",7.959016,
"AUT","POP","TOT","MLN_PER","A","1997",7.968041,
"AUT","POP","TOT","MLN_PER","A","1998",7.976789,
"AUT","POP","TOT","MLN_PER","A","1999",7.992323,
"AUT","POP","TOT","MLN_PER","A","2000",8.011566,
"AUT","POP","TOT","MLN_PER","A","2001",8.042293,
"AUT","POP","TOT","MLN_PER","A","2002",8.082121,
"AUT","POP","TOT","MLN_PER","A","2003",8.118245,
"AUT","POP","TOT","MLN_PER","A","2004",8.169441,
"AUT","POP","TOT","MLN_PER","A","2005",8.225278,
"AUT","POP","TOT","MLN_PER","A","2006",8.267948,
"AUT","POP","TOT","MLN_PER","A","2007",8.295189,
"AUT","POP","TOT","MLN_PER","A","2008",8.321541,
"AUT","POP","TOT","MLN_PER","A","2009",8.341483,
"AUT","POP","TOT","MLN_PER","A","2010",8.361069,
"AUT","POP","TOT","MLN_PER","A","2011",8.388534,
"AUT","POP","TOT","MLN_PER","A","2012",8.426311,
"AUT","POP","TOT","MLN_PER","A","2013",8.47723,
"AUT","POP","TOT","MLN_PER","A","2014",8.543932,
"AUT","POP","TOT","MLN_PER","A","2015",8.629519,
"AUT","POP","TOT","MLN_PER","A","2016",8.739806,
"AUT","POP","TOT","MLN_PER","A","2017",8.795073,
"AUT","POP","TOT","MLN_PER","A","2018",8.837707,
"AUT","POP","TOT","MLN_PER","A","2019",8.877637,
"AUT","POP","TOT","MLN_PER","A","2020",8.916845,
"AUT","POP","TOT","MLN_PER","A","2021",8.95152,
"BEL","POP","TOT","MLN_PER","A","1992",10.045165,
"BEL","POP","TOT","MLN_PER","A","1993",10.084479,
"BEL","POP","TOT","MLN_PER","A","1994",10.115601,
"BEL","POP","TOT","MLN_PER","A","1995",10.136814,
"BEL","POP","TOT","MLN_PER","A","1996",10.156641,
"BEL","POP","TOT","MLN_PER","A","1997",10.181246,
"BEL","POP","TOT","MLN_PER","A","1998",10.203012,
"BEL","POP","TOT","MLN_PER","A","1999",10.226419,
"BEL","POP","TOT","MLN_PER","A","2000",10.251251,
"BEL","POP","TOT","MLN_PER","A","2001",10.286571,
"BEL","POP","TOT","MLN_PER","A","2002",10.332786,
"BEL","POP","TOT","MLN_PER","A","2003",10.376131,
"BEL","POP","TOT","MLN_PER","A","2004",10.421136,
"BEL","POP","TOT","MLN_PER","A","2005",10.47862,
"BEL","POP","TOT","MLN_PER","A","2006",10.547956,
"BEL","POP","TOT","MLN_PER","A","2007",10.624835,
"BEL","POP","TOT","MLN_PER","A","2008",10.709108,
"BEL","POP","TOT","MLN_PER","A","2009",10.796498,
"BEL","POP","TOT","MLN_PER","A","2010",10.895591,
"BEL","POP","TOT","MLN_PER","A","2011",10.993609,
"BEL","POP","TOT","MLN_PER","A","2012",11.067748,
"BEL","POP","TOT","MLN_PER","A","2013",11.125033,
"BEL","POP","TOT","MLN_PER","A","2014",11.179778,
"BEL","POP","TOT","MLN_PER","A","2015",11.238474,
"BEL","POP","TOT","MLN_PER","A","2016",11.295003,
"BEL","POP","TOT","MLN_PER","A","2017",11.349081,
"BEL","POP","TOT","MLN_PER","A","2018",11.40374,
"BEL","POP","TOT","MLN_PER","A","2019",11.462023,
"BEL","POP","TOT","MLN_PER","A","2020",11.506938,
"BEL","POP","TOT","MLN_PER","A","2021",11.552615,
"CAN","POP","TOT","MLN_PER","A","1992",28.371264,
"CAN","POP","TOT","MLN_PER","A","1993",28.684764,
"CAN","POP","TOT","MLN_PER","A","1994",29.000663,
"CAN","POP","TOT","MLN_PER","A","1995",29.302311,
"CAN","POP","TOT","MLN_PER","A","1996",29.610218,
"CAN","POP","TOT","MLN_PER","A","1997",29.905948,
"CAN","POP","TOT","MLN_PER","A","1998",30.155173,
"CAN","POP","TOT","MLN_PER","A","1999",30.401286,
"CAN","POP","TOT","MLN_PER","A","2000",30.68573,
"CAN","POP","TOT","MLN_PER","A","2001",31.020902,
"CAN","POP","TOT","MLN_PER","A","2002",31.360079,
